사업명,지원대상,지원내용,신청방법,사업종료일,출처,상세링크,AI_학습용_데이터
장애인식개선교육,"초,중,고등학생 및 전국민 대상", 장애인식개선교육     - 스포츠체험(휠체어럭비)     - 장애체험     - 인형극     - 직업토크쇼,786-8483,2099-12-31,민간복지(CSV),내용 없음,장애인식개선교육 초중고등학생 및 전국민 대상 장애인식개선교육 스포츠체험휠체어럭비 장애체험 인형극 직업토크쇼
장애인 보조기기 지원사업,"학습, 사회, 일상생활을 영위함에 있어 보조기기가 필요한 중증 1~2급 지체·퇴병변 장애인(만 20세 이하), 저소득, 중위소득 150% 이하",1인 150만원 이내의 일상생활 보조기기 1품목,신청인 주소지 기준 담당 지역 기관의 우편 및 이메일 접수※ 이메일 참조,2030-05-21,민간복지(CSV),내용 없음,장애인 보조기기 지원사업 학습 사회 일상생활을 영위함에 있어 보조기기가 필요한 중증 12급 지체퇴병변 장애인만 20세 이하 저소득 중위소득 150 이하 1인 150만원 이내의 일상생활 보조기기 1품목
무료법률구조 지원,17년 적용 기준 중위소득 125% 이하인 소상공인,"소상공인 상행위 관련 민사사건에 대한 변호사 비용, 인지대, 송달료 등 제반소송비용* 단, 승소가액 2억원 이상, 근로관계와 대응된 사건은 제외","구비서류를 가까운 대한법률구조공단 지부, 출장소에 제출",2048-04-23,민간복지(CSV),내용 없음,무료법률구조 지원 17년 적용 기준 중위소득 125 이하인 소상공인 소상공인 상행위 관련 민사사건에 대한 변호사 비용 인지대 송달료 등 제반소송비용 단 승소가액 2억원 이상 근로관계와 대응된 사건은 제외
내일을 찾는 학교," 진로분야 재능과 열정이 확실한 아동 청소년- 중학교 1학년~고등학교 2학년 재학생- 아동복지시설 이용학생(그룹홈, 보육원, 복지관, 쉼터, 지역아동센터 등)- 중도포기 없이 8개월간 참여가능한 학생"," 교육비 280만원, 멘토링 및 진로체험비 20만원", 신청방법 : 이메일 접수 Project@busrugy.or.kr- 신청기간 : 연중 상시공고로 홈페이지 확인,2048-06-30,민간복지(CSV),내용 없음,내일을 찾는 학교 진로분야 재능과 열정이 확실한 아동 청소년 중학교 1학년고등학교 2학년 재학생 아동복지시설 이용학생그룹홈 보육원 복지관 쉼터 지역아동센터 등 중도포기 없이 8개월간 참여가능한 학생 교육비 280만원 멘토링 및 진로체험비 20만원
세상에서 제일 소중한 너라서,"0세~만18세 이하의 아동청소년(수급권자 및 차상위계층, 하부모가족, 일반저소득가정/중위소득 80%이하)","대상자별 1인당 최대, 200만원 의료비 지원(치료비, 수술비, 보장구 구입비, 약제비 등 치료에 필요한 제반비용)", 이메일 접수 withchild@holt.or.kr- 신청기간: 6월,2038-06-30,민간복지(CSV),내용 없음,세상에서 제일 소중한 너라서 0세만18세 이하의 아동청소년수급권자 및 차상위계층 하부모가족 일반저소득가정중위소득 80이하 대상자별 1인당 최대 200만원 의료비 지원치료비 수술비 보장구 구입비 약제비 등 치료에 필요한 제반비용
북한이탈주민 의료비 지원," 북한이탈주민 중 현재 치료 중이거나, 치료 예정인 경우- 질병의 제한은 없으나, 암, 희귀난치성 질병 등 우선 지원 대상 있음"," 재단 치료비 지원 100만원- 선정 후, 재단 홈페이지 게시 및 외부 모금을 통한 모금액 전액 지급", 홈페이지 확인 후 메일 제출 : cwf2007@hanmail.net,2048-08-27,민간복지(CSV),내용 없음,북한이탈주민 의료비 지원 북한이탈주민 중 현재 치료 중이거나 치료 예정인 경우 질병의 제한은 없으나 암 희귀난치성 질병 등 우선 지원 대상 있음 재단 치료비 지원 100만원 선정 후 재단 홈페이지 게시 및 외부 모금을 통한 모금액 전액 지급
대학생아시아대장정,대학 재학생 및 휴학생(해외 결격 사유가 없는 자),"아시아 대장정 프로그램 지원(리더십킴프, 개인조별활동,아시아 탐방 및 체험", 신청기간: 5~6월- 심의절차 및 기준: 참가신청>서류접수>면접,2026-12-23,민간복지(CSV),내용 없음,대학생아시아대장정 대학 재학생 및 휴학생해외 결격 사유가 없는 자 아시아 대장정 프로그램 지원리더십킴프 개인조별활동아시아 탐방 및 체험
밝은 세상을 보는 즐거움,"안구질환으로 수술 및 치료가 필요하지만 치료가 어려운 24세 이하 아동청소년(시각장애인 부모, 조부모 해당)","개안수술비, 주거비 및 생게비(대상자 경제적 상황에 따라 지원가능)",이메일 miral4664@hanmail.net,2048-07-23,민간복지(CSV),내용 없음,밝은 세상을 보는 즐거움 안구질환으로 수술 및 치료가 필요하지만 치료가 어려운 24세 이하 아동청소년시각장애인 부모 조부모 해당 개안수술비 주거비 및 생게비대상자 경제적 상황에 따라 지원가능
탈북대학생 기숙사 메리메이트,"서울 소재 4년제 또는 2년제 대학 1학년 이상(2019년 3월 기준) 재학생으로 현재 주거문제를 겪고 있는 북한이탈주민(단, 보호자의 거주지가 서울시일 경우 지원 불가)","주거환경 및 개인별 맞춤 학습진료, 취업연계 멘토링 프로그램 제공"," 신청기간: 12월~1월, 연중 추가 접수 홈페이지 확인- 심의절차: 서류심사>면접심사",2026-12-29,민간복지(CSV),내용 없음,탈북대학생 기숙사 메리메이트 서울 소재 4년제 또는 2년제 대학 1학년 이상2019년 3월 기준 재학생으로 현재 주거문제를 겪고 있는 북한이탈주민단 보호자의 거주지가 서울시일 경우 지원 불가 주거환경 및 개인별 맞춤 학습진료 취업연계 멘토링 프로그램 제공
아동 의료비 지원, 만 12세 이하 초등학생 및 영유아(소득구분: 저소득), 지원 아동의 질병 치료에 요구되는 일체의 의료 비용 최대 300만원 지원, 이메일 제출(5440421@hanmail.net),2029-07-18,민간복지(CSV),내용 없음,아동 의료비 지원 만 12세 이하 초등학생 및 영유아소득구분 저소득 지원 아동의 질병 치료에 요구되는 일체의 의료 비용 최대 300만원 지원
꿈사진 공모전 '꿈을 꾸는 청소년을 찾습니다', 전국 청소년(청소년 기본법상 만9~24세) 또는 청소년 그룹, 30~100만원 지급, 이메일(dream@mnjfoundation.org)로 신청,2048-06-18,민간복지(CSV),내용 없음,꿈사진 공모전 꿈을 꾸는 청소년을 찾습니다 전국 청소년청소년 기본법상 만924세 또는 청소년 그룹 30100만원 지급
모아사랑 태교음악회(임신부 출산용품 후원),"저소득/취약계층 임신부(미혼모, 북한이탈주민, 결혼이주여성, 기초수급자 등) 및 도움이 필요한 일반인 임신부",신생아 양육에 필요한 출산용품 및 태교음악회 음악 관람,포털사이트 '다음'에서 모아사랑 태교음악회 까페 검색하여 신청서 작성 및 지원,2099-12-31,민간복지(CSV),내용 없음,모아사랑 태교음악회임신부 출산용품 후원 저소득취약계층 임신부미혼모 북한이탈주민 결혼이주여성 기초수급자 등 및 도움이 필요한 일반인 임신부 신생아 양육에 필요한 출산용품 및 태교음악회 음악 관람
진로동아리 지원사업 드림나우," 서울 및 수도권 지역(경기, 인천) 의 진로동아리신규) 진로를 찾기 위해 다양한 경험을 해보고 싶은 청소년들이나,      진로를 정하고 실현해나가기 위해 노력하는 청소년들로 구성된 진로동아리     * 2019년도 기준 고등학생, 혹은 고등학생 연력(학교 밖 청소년 포함)지속) 드림나우 지원을 받은 자 중에서 추가적인 지원이 필요한 청소년 진로동아리"," 문화예술/문화예술 외의 진로를 성취해가는 과정에서 경험해보고 싶은 것, 배우고 싶은 것 등 - 심사 과정을 통해 재단과 협의하여 최종 지원항목 확정 - 일정 금액의 다과비 및 문화체험비 지급 예정(팀당 50~150만원 이내) - Mnj DREAM LAB 네트워킹(상/하반기), 도전프로젝트 등 필수참석", 이메일(dream@mnjfoundation.org)로 신청,2048-06-17,민간복지(CSV),내용 없음,진로동아리 지원사업 드림나우 서울 및 수도권 지역경기 인천 의 진로동아리신규 진로를 찾기 위해 다양한 경험을 해보고 싶은 청소년들이나 진로를 정하고 실현해나가기 위해 노력하는 청소년들로 구성된 진로동아리 2019년도 기준 고등학생 혹은 고등학생 연력학교 밖 청소년 포함지속 드림나우 지원을 받은 자 중에서 추가적인 지원이 필요한 청소년 진로동아리 문화예술문화예술 외의 진로를 성취해가는 과정에서 경험해보고 싶은 것 배우고 싶은 것 등 심사 과정을 통해 재단과 협의하여 최종 지원항목 확정 일정 금액의 다과비 및 문화체험비 지급 예정팀당 50150만원 이내 네트워킹상하반기 도전프로젝트 등 필수참석
의료생활비지원사업,중위소득 180% 이하,생활비(의료비) 지출액의 10%~25% 범위에서 지원합니다. (기초생활수급자는 추가지원 가능),재단 홈페이지의 '의료생활비 지원신청하기' 이용,2025-12-31,민간복지(CSV),내용 없음,의료생활비지원사업 중위소득 180 이하 생활비의료비 지출액의 1025 범위에서 지원합니다 기초생활수급자는 추가지원 가능
한부모정서지원프로그램 '당신의 마음봄',①일반과정심리적 지지가 필요한 한부모 및 청소년가정②심화과정일반과정 수료자 중 선별,치유활동가의 공감적 지지를 통한 정서적 안정 및 자존감 회복-프로그램 진행 중 아이돌봄 지원-총 3회기 진행(1회기 당 3회)②심화과정-멘토와의 슈퍼비전 진행 -치유활동가 교육 및 수료,홈페이지 상담신청,2025-12-31,민간복지(CSV),내용 없음,한부모정서지원프로그램 당신의 마음봄 일반과정심리적 지지가 필요한 한부모 및 청소년가정심화과정일반과정 수료자 중 선별 치유활동가의 공감적 지지를 통한 정서적 안정 및 자존감 회복프로그램 진행 중 아이돌봄 지원총 3회기 진행1회기 당 3회심화과정멘토와의 슈퍼비전 진행 치유활동가 교육 및 수료
저소득층 및 취약계층 의료비지원사업,1. 기초생활수급자2. 차상위계층3. 건강보험가입자 중 취약계층(중위소득 100% 이하)," 4개 과목, 20여개 항목의 치료비(수술비) 및 검진비 지원- 치과, 정형외과, 이비인후과, 내과 등 4개 과목- 1회 검진비 및 1회 수술비 지원(과목별)- 치과는 총 금액에 따른 비율지원(부분지원)* 지원제외- 대상자 선정 이전에 발생한 검사비, 진료비 및 수술비- 지원 대상으로 선정된 내용과 관련 없는 검사비, 치료비, 입원비 등- 상급병실료, 통원치료비 (수술 이후)- 약제비, 간병비, 보조기구 등 "," 대상자가 장애, 기타 건강상의 이유로 본인 신청 및 소통이 불가한 경우- 대상자가 고령으로 앱 서비스 이용 및 이해가 어려운 경우- 대상자가 아동복지 및 보호 시설 대상자인 경우(미성년 대상자의 경우만 해당)",2025-12-31,민간복지(CSV),내용 없음,저소득층 및 취약계층 의료비지원사업 1 기초생활수급자2 차상위계층3 건강보험가입자 중 취약계층중위소득 100 이하 4개 과목 20여개 항목의 치료비수술비 및 검진비 지원 치과 정형외과 이비인후과 내과 등 4개 과목 1회 검진비 및 1회 수술비 지원과목별 치과는 총 금액에 따른 비율지원부분지원 지원제외 대상자 선정 이전에 발생한 검사비 진료비 및 수술비 지원 대상으로 선정된 내용과 관련 없는 검사비 치료비 입원비 등 상급병실료 통원치료비 수술 이후 약제비 간병비 보조기구 등
한부모가족지원사업 '트라이앵글 프로젝트',"7세 이하의 자녀를 양육하는 한부모 및 청소년가정, 양육의지가 있는 한부모 및 청소년 임산부"," 통합사례지원을 통한 개인별 맞춤형 지원- 7개의 자립로드맵 운영 (긴급위기지원, 임신출산지원, 의료비지원, 양육지원, 심리정서지원, 느린학습자지원, 라이프코칭)",홈페이지 상담신청,2025-12-31,민간복지(CSV),내용 없음,한부모가족지원사업 트라이앵글 프로젝트 7세 이하의 자녀를 양육하는 한부모 및 청소년가정 양육의지가 있는 한부모 및 청소년 임산부 통합사례지원을 통한 개인별 맞춤형 지원 7개의 자립로드맵 운영 긴급위기지원 임신출산지원 의료비지원 양육지원 심리정서지원 느린학습자지원 라이프코칭
학대피해아동 맞춤형지원사업, 아동생활시설에 거주중인 만 18세 미만 학대피해아동,아동생활시설에 거주중인 학대피해아동에게 맞춤형 서비스(생활/정서/교육/의료비)제공," 이메일 접수 : apply@kws.or.kr * 신청서류 일체 발송, 메일 발송 시, '예: 학대피해아동지원사업_기관명' 제목으로 발송- 사업신청(이메일) 후, 선정심사를 통해 선정 발표(매월 중순), 선정 관련 별도 안내",2025-12-31,민간복지(CSV),내용 없음,학대피해아동 맞춤형지원사업 아동생활시설에 거주중인 만 18세 미만 학대피해아동 아동생활시설에 거주중인 학대피해아동에게 맞춤형 서비스생활정서교육의료비제공
삼성 안면(얼굴)기형 환자 재건 성형 수술 지원 사업," 선·후천적인 신체 기형에 대해 재건 성형 치료가 필요한,  - 기준중위소득 120%, 거주지 및 가구 별 최고재산액 대비 300% 이하의 저소득 가정에 속하는 자","재건 성형과 연관된 성형외과 진료 및 수술, 치과 교정치료, 기타과 협진 진료 지원"," (우. 06351) 서울 강남구 일원로 81 삼성서울병원 본관 B2F 사회복지상담실 [밝은얼굴 찾아주기] 담당 - 메일 jiyoun.yoo@samsung.com / ☎ 02-3410-3257, 1004 / 팩스 02-3410-3259",2026-10-31,민간복지(CSV),내용 없음,삼성 안면얼굴기형 환자 재건 성형 수술 지원 사업 선후천적인 신체 기형에 대해 재건 성형 치료가 필요한 기준중위소득 120 거주지 및 가구 별 최고재산액 대비 300 이하의 저소득 가정에 속하는 자 재건 성형과 연관된 성형외과 진료 및 수술 치과 교정치료 기타과 협진 진료 지원
2025년 밀알복지재단 국내지원사업,"기초생활수급자, 차상위계층, 저소득계층(사업별 지원대상 상이하여 사업 안내문 참고 요망)","의료비, 주거비, 생계비 등(사업별 지원내용 상이하여 사업 안내문 참고 요망)",mail 접수 (miral9135@miral.org),2025-12-31,민간복지(CSV),내용 없음,2025년 밀알복지재단 국내지원사업 기초생활수급자 차상위계층 저소득계층사업별 지원대상 상이하여 사업 안내문 참고 요망 의료비 주거비 생계비 등사업별 지원내용 상이하여 사업 안내문 참고 요망
사회취약계층 및 저소득층 의료비지원사업,"65세 이상 노인, 아동청소년, 저소득층, 장애인, 기초생활수급자, 차상위등 사회취약계층으로  경제적 어려움을 겪고 있는 우리 사회 이웃", 월12회 결제 가능 / 약국 - 월12회 결제 가능     * 생활기관 - 월15회 결제 가능 ,1. 더하기복지재단중앙회 홈페이지에서 온라인 신청 또는 팩스 신청 가능2. 심사 후 선정 된 자 문자발송 3. 더하기의료.생활복지카드 지정된 주소지로 우편발송 ,2026-10-31,민간복지(CSV),내용 없음,사회취약계층 및 저소득층 의료비지원사업 65세 이상 노인 아동청소년 저소득층 장애인 기초생활수급자 차상위등 사회취약계층으로 경제적 어려움을 겪고 있는 우리 사회 이웃 월12회 결제 가능 약국 월12회 결제 가능 생활기관 월15회 결제 가능
학대피해아동 의료비지원사업,아동생활시설에 거주중인 만 18세 미만 학대피해아동(일반 요보호 아동 지원불가),아동생활시설에 거주중인 학대피해아동에게 맞춤형 의료비지원,이메일 접수 apply@kws.or.kr 신청서류 일체 발송,2026-02-28,민간복지(CSV),내용 없음,학대피해아동 의료비지원사업 아동생활시설에 거주중인 만 18세 미만 학대피해아동일반 요보호 아동 지원불가 아동생활시설에 거주중인 학대피해아동에게 맞춤형 의료비지원
밀알복지재단 방송 및 온라인 모금스토리 모집," 자녀 중 1명 이상이 장애 혹은 희귀난치성질환을 가지고?있는 가정?- 기타 복지사각지대에 있는 저소득층 대상자우대조건- 긴급하거나 고가의 수술이 필요한 경우- 한부모가정, 조손가정, 소년소녀가장- 보호자가 모두 근로하고 있지만 의료비 발생으로 경제적인 어려움이 있는 경우- 주거환경이 열악하여 지원의 필요성이 직관적으로 드러나는 경우- 시간이 지남에 따라 장애 및 중증질환의 정도가 악화되어 어려움이 예상되는 경우- 가족구성원 모두 방송/온라인 노출동의가 가능한 경우","지원금액: 1,500 ~ 3,000만원* 방송모금: 방영 후 1,500만원 일시 지원(비지정)* 온라인 사연페이지: 500만원(촬영협조금/비지정)+1,000만원(지정+비지정)   (기업후원금 연계 시 총 지원금액 3,000만원 내에서 지원)","사례기관의 경우 이메일 접수(신청서, 개인정보제공동의서, 사진)개인신청의 경우 포스터 내 QR코드를 통해 신청",2026-08-31,민간복지(CSV),내용 없음,밀알복지재단 방송 및 온라인 모금스토리 모집 자녀 중 1명 이상이 장애 혹은 희귀난치성질환을 가지고있는 가정 기타 복지사각지대에 있는 저소득층 대상자우대조건 긴급하거나 고가의 수술이 필요한 경우 한부모가정 조손가정 소년소녀가장 보호자가 모두 근로하고 있지만 의료비 발생으로 경제적인 어려움이 있는 경우 주거환경이 열악하여 지원의 필요성이 직관적으로 드러나는 경우 시간이 지남에 따라 장애 및 중증질환의 정도가 악화되어 어려움이 예상되는 경우 가족구성원 모두 방송온라인 노출동의가 가능한 경우 지원금액 1500 3000만원 방송모금 방영 후 1500만원 일시 지원비지정 온라인 사연페이지 500만원촬영협조금비지정1000만원지정비지정 기업후원금 연계 시 총 지원금액 3000만원 내에서 지원
미혼한부모 양육물품지원사업 '365베이비케어키트',0~36개월 이하의 자녀를 양육중인 기준중위소득 100% 이하의 미혼한부모가정," 대상: 0~12개월 영유아 20명- 지원물품: 1회차(8월) 분유, 기저귀, 의류                  2회차(9월) 분유                 3회차(10월) 분유, 기저귀                 4회차(11월) 분유B세트 - 대상: 12~36개월 영유아 50명- 지원물품: 1회차(8월) 이유식, 기저귀, 의류                  2회차(9월) 이유식                 3회차(10월) 이유식, 기저귀                 4회차(11월) 이유식", 신청기간 : 2025. 6. 23(월) ~ 7. 13(일)- 선정발표 : 2025. 7. 18(금)/ 선정자 개별 연락 * 서비스 지원기간 : 2025. 8월 ~ 11월(매월 1회),2025-11-30,민간복지(CSV),내용 없음,미혼한부모 양육물품지원사업 365베이비케어키트 036개월 이하의 자녀를 양육중인 기준중위소득 100 이하의 미혼한부모가정 대상 012개월 영유아 20명 지원물품 1회차8월 분유 기저귀 의류 2회차9월 분유 3회차10월 분유 기저귀 4회차11월 분유세트 대상 1236개월 영유아 50명 지원물품 1회차8월 이유식 기저귀 의류 2회차9월 이유식 3회차10월 이유식 기저귀 4회차11월 이유식
미성년자녀 양육 희귀난치성질환자 생계비 지원사업, 19세 이하 자녀를 양육하고 있는 희귀난치성질환자- 경제적 기준: 기준 중위소득 100% 이하(2025년)- 가족 혹은 지역사회 내 지지체계가 미비한 자,생계비(최대 200만원),신청서류 작성 후 이메일 접수(miral9135@miral.org),2025-12-12,민간복지(CSV),내용 없음,미성년자녀 양육 희귀난치성질환자 생계비 지원사업 19세 이하 자녀를 양육하고 있는 희귀난치성질환자 경제적 기준 기준 중위소득 100 이하2025년 가족 혹은 지역사회 내 지지체계가 미비한 자 생계비최대 200만원
한부모가정 심리상담 지원사업 '네 마음을 보여줘' ,【공통】 ① 18세 미만의 아동을 양육중인 한부모가정           ② 사실혼 관계가 아닌 한부모가정            ③ 기준중위소득 150% 이하인 자            ④ 대상자 선정 후 2개월 내 사업 참여가 가능한 자 【우대】① 최근 6개월 내 심리지원바우처사업이 종결된 한부모가정           ② 상담 이력이 있으나 중단되어 지속 지원이 필요한 한부모가정           ③ 미혼한부모가정  ,"1. 심리상담 지원 (1가정 당 최대 100만원)   ①심리상담지원(성인, 아동, 청소년 상담)   ②심리정서 지원서비스 (놀이, 미술, 언어치료 등)2. 마음챙김 워크숍   사회정서역량강화를 위한 마음챙김 프로그램 1회",신청기간 : 2025. 6. 30(월) ~ 7.19(토)-선정발표 : 2025. 7.25(금)/ 선정기관에 개별 연락,2026-01-31,민간복지(CSV),내용 없음,한부모가정 심리상담 지원사업 네 마음을 보여줘 공통 18세 미만의 아동을 양육중인 한부모가정 사실혼 관계가 아닌 한부모가정 기준중위소득 150 이하인 자 대상자 선정 후 2개월 내 사업 참여가 가능한 자 우대 최근 6개월 내 심리지원바우처사업이 종결된 한부모가정 상담 이력이 있으나 중단되어 지속 지원이 필요한 한부모가정 미혼한부모가정 1 심리상담 지원 1가정 당 최대 100만원 심리상담지원성인 아동 청소년 상담 심리정서 지원서비스 놀이 미술 언어치료 등2 마음챙김 워크숍 사회정서역량강화를 위한 마음챙김 프로그램 1회
밀알복지재단 신장이식수술비지원사업,"기초생활수급자 및 차상위계층, 중위소득 70% 이하 저소득층 신장장애인 중 수술 일정이 확정된 대상자"," 기초생활수급자, 차상위계층: 신장이식수술비 최대 500만원 지원- 중위소득 70% 이하 저소득계층: 신장이식수술비 최대 400만원 지원- 지원한도 내 잔액발생 시 공여자 수술비로 지원가능",신장이식수술비지원사업 신청서 작성 후 이메일 접수(miral9135@miral.org),2026-02-28,민간복지(CSV),내용 없음,밀알복지재단 신장이식수술비지원사업 기초생활수급자 및 차상위계층 중위소득 70 이하 저소득층 신장장애인 중 수술 일정이 확정된 대상자 기초생활수급자 차상위계층 신장이식수술비 최대 500만원 지원 중위소득 70 이하 저소득계층 신장이식수술비 최대 400만원 지원 지원한도 내 잔액발생 시 공여자 수술비로 지원가능
삼성 무지개(무료지원개안)사업,24세 이하 아동·청소년: 안과 수술이 필요한 건강보험료 120% 이하," 전국 안과 병·의원에서 진행되는 안과 의료비 본인부담금 전액 - 예외항목: 대상자 선정 전 발생 의료비, 원외 발생 비용, 제증명서 발급비용 등", 한국실명예방재단에 서류 제출 - 삼성 무지개 홈페이지 > 접수 시스템(우상단) > 지원 신청하기,2026-07-27,민간복지(CSV),내용 없음,삼성 무지개무료지원개안사업 24세 이하 아동청소년 안과 수술이 필요한 건강보험료 120 이하 전국 안과 병의원에서 진행되는 안과 의료비 본인부담금 전액 예외항목 대상자 선정 전 발생 의료비 원외 발생 비용 제증명서 발급비용 등
2025 서울문자통역 서비스,서울시 거주자이면서 청각장애인으로 등록된 자 ," 교육 문자통역 지원 : 취업, 학원, 자격증, 동아리, 스터디 강의 등- 직무 활동 문자통역 지원 : 사내교육, 회의, 워크숍 등- 기타 문자통역 지원 : 자기계발, 교양, 문화 활동 등 - 녹취록(한글파일) 제작 : 유튜브, 팟캐스트 등 ", 서울 선택 * 서울시 거주 및 청각장애인 유형이 보이는 복지카드 1부 혹은 장애인증명서 업로드 3. 문자통역 신청하기4. 문자통역사 직접 선택하기 ,2025-12-31,민간복지(CSV),내용 없음,2025 서울문자통역 서비스 서울시 거주자이면서 청각장애인으로 등록된 자 교육 문자통역 지원 취업 학원 자격증 동아리 스터디 강의 등 직무 활동 문자통역 지원 사내교육 회의 워크숍 등 기타 문자통역 지원 자기계발 교양 문화 활동 등 녹취록한글파일 제작 유튜브 팟캐스트 등
2025년도 환경재단 소아천식 지원사업(9차년도),46)을 받은 2013~2025년생 어린이2) 소득요건     - 1순위 : 기초생활수급자 또는 차상위계층     - 2순위 : 중위소득 80% 이내 가구 (2025년도 기준)," 치료 지원 : 치료비 및 의료물품 지원  - 생활환경개선 : 가정 맞춤형 물품 및 서비스 지원  - 역량강화 : 질환 관리 및 예방 지원(운동지원금, 가족 자연캠프)2) 지원 기간 : 2025. 8월 ~ 2026. 6월(총 11개월) ",2011-4316,2026-06-30,민간복지(CSV),내용 없음,2025년도 환경재단 소아천식 지원사업9차년도 46을 받은 20132025년생 어린이2 소득요건 1순위 기초생활수급자 또는 차상위계층 2순위 중위소득 80 이내 가구 2025년도 기준 치료 지원 치료비 및 의료물품 지원 생활환경개선 가정 맞춤형 물품 및 서비스 지원 역량강화 질환 관리 및 예방 지원운동지원금 가족 자연캠프2 지원 기간 2025 8월 2026 6월총 11개월
하나 파워 온 케어 미혼·한부모 가정 정서심리치료 지원,전국 미혼·한부모 가정 (다문화가정 및 북한이탈주민 포함),상담비 1인당 월 최대 32만원 지원,제출서류를 한파일로 묶어서 첨부 후 이메일 제출(apply@kws.or.kr),2025-12-27,민간복지(CSV),내용 없음,하나 파워 온 케어 미혼한부모 가정 정서심리치료 지원 전국 미혼한부모 가정 다문화가정 및 북한이탈주민 포함 상담비 1인당 월 최대 32만원 지원
다양한가족 수용성 제고 교육, 일반 국민- 기관 단체," 온라인 교육 : 주제별 및 대상별 다문화 이해교육을 온라인으로 운영- 오프라인 교육(찾아가는 교육) : 다문화, 다양한 가족 이해교육 강사 파견(무료)- 온라인 콘텐츠 공동 활용 : 다누리배움터에서 제공 중인 온라인 교육 콘텐츠를 희망하는 공공기관에 배포하여 각 기관에서 자체적으로 가족다양성 이해교육을 개설하고 운영할 수 있도록 지원(기관 자체 LMS 필요)"," 온라인 교육 : 다누리배움터 접속 후 교육 신청(다누리배움터(www.danurischool.kr)> 회원가입 및 로그인> 교육 신청 후 수강)- 오프라인 교육(찾아가는 교육) : 기관 회원으로 회원가입 및 로그인> 찾아가는 교육신청(강사, 강의주제, 강의일정 등 입력)  * 무료 교육의 경우, '공지사항' 연간 연계 안내 무료교육 조건을 참고하여 신청 필요- 온라인 콘텐츠 공동활용 : 기관에서 공동 활용 신청서 작성하여 공문으로 신청",2099-12-31,민간복지(CSV),내용 없음,다양한가족 수용성 제고 교육 일반 국민 기관 단체 온라인 교육 주제별 및 대상별 다문화 이해교육을 온라인으로 운영 오프라인 교육찾아가는 교육 다문화 다양한 가족 이해교육 강사 파견무료 온라인 콘텐츠 공동 활용 다누리배움터에서 제공 중인 온라인 교육 콘텐츠를 희망하는 공공기관에 배포하여 각 기관에서 자체적으로 가족다양성 이해교육을 개설하고 운영할 수 있도록 지원기관 자체 필요
홀트대전한부모가족복지상담소 소개 및 사업 안내,"대전·충남북에 거주하며, 출산을 앞둔 20주 이상의 한부모와 만 18세 미만의 자녀를 양육중인 한부모, 장기체류비자를 소지한 다문화가정의 위기한부모", 출산·양육 필수 물품 지원 -심리적 안정과 정서지원 -한부모긴급지원2. 양육·돌봄지원사업 -양육비 지원 및 돌봄서비스 -위기가정지원사업 -건강한 가정환경 조성3. 교육·자립지원사업 -한부모역량강화교육지원사업 -교육비 및 교육물품 지원사업 -자립을 위한 교육훈련 지원사업4. 심리·상담지원사업 -개인·가족 심리상담 지원사업 -온·오프라인 정보 제공 상담지원사업5. 자조모임 -전문가 특강/워크숍/공동체 활동6. 인식개선 캠페인 -올바른 이해를 위한 홍보·교육 -사회적 연대와 인식개선 캠페인,전화 및 메일 등 유선상담 혹은 QR 서비스 신청 부탁드립니다.,2025-12-31,민간복지(CSV),내용 없음,홀트대전한부모가족복지상담소 소개 및 사업 안내 대전충남북에 거주하며 출산을 앞둔 20주 이상의 한부모와 만 18세 미만의 자녀를 양육중인 한부모 장기체류비자를 소지한 다문화가정의 위기한부모 출산양육 필수 물품 지원 심리적 안정과 정서지원 한부모긴급지원2 양육돌봄지원사업 양육비 지원 및 돌봄서비스 위기가정지원사업 건강한 가정환경 조성3 교육자립지원사업 한부모역량강화교육지원사업 교육비 및 교육물품 지원사업 자립을 위한 교육훈련 지원사업4 심리상담지원사업 개인가족 심리상담 지원사업 온오프라인 정보 제공 상담지원사업5 자조모임 전문가 특강워크숍공동체 활동6 인식개선 캠페인 올바른 이해를 위한 홍보교육 사회적 연대와 인식개선 캠페인
청소년 미혼모 밀착사례관리 '아낌없이주는나무'," 자립 의지가 있는 청소년미혼모(만 24세까지), 10대 청소년부부② 긴급케어 : 맞춤형 일시지원- 청소년미혼모(만 24세까지, 40명)"," 생계, 의료, 양육, 임신출산, 심리정서, 멘토링, 교육, 취업, 문화체험 등 지속적인 소통을 바탕으로 맞춤형 사례 지원② 긴급케어 : 맞춤형 일시지원- 긴급생계비, 출산비, 의료비, 양육물품 등 필요한 상황에 따라 일시적 지원",홈페이지 상담신청,2025-12-31,민간복지(CSV),내용 없음,청소년 미혼모 밀착사례관리 아낌없이주는나무 자립 의지가 있는 청소년미혼모만 24세까지 10대 청소년부부 긴급케어 맞춤형 일시지원 청소년미혼모만 24세까지 40명 생계 의료 양육 임신출산 심리정서 멘토링 교육 취업 문화체험 등 지속적인 소통을 바탕으로 맞춤형 사례 지원 긴급케어 맞춤형 일시지원 긴급생계비 출산비 의료비 양육물품 등 필요한 상황에 따라 일시적 지원
